sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-zwilling_31095-151-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zwilling Vier SterneHackmesser, 150 mm</h1><h3>**** Vier Sterne - Sicherheit im bewährten Design<h3>Vor über 30 Jahren revolutionierte Zwilling mit dem fugenlosen Vollkunststoffgriff die Standards für hochwertige Kochmesser. Das klassische Meisterstück an Sicherheit, Ergonomie und Komfort ist bis heute die meistverkaufte Zwilling Messerserie weltweit.<br><h3>Hackmesser 150 mm<h3>Das Hackmesser besitzt eine stabile, breite Klinge in rechteckiger Form. Es zerteilt große Fleischstücke und schneidet Rippchen.    </h3></h3></h3></h3></div>",No,,,0,/zwilling/kitchen/hackmesser-01_1803.jpg,,,,,Hackmesser,Hackmesser,Hackmesser - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Hackmesser,,,Product Info Column,,"109,00",0,,,,/zwilling/kitchen/hackmesser-01_1803.jpg,,,,,1,2,/zwilling/kitchen/hackmesser-01_1803.jpg,,,Hackmesser,Hackmesser.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_35113-000-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>ZWILLING TWIN Gourmet Messerset, 2-tlg.</h1>Das Zwilling TWIN Gourmet Messerset, 2-tlg. ist der ideale Einsteiger für angehende Feinschmecker. Set bestehend aus: - Chinesisches Kochmesser 20 cm: Breite lange Klinge mit sehr scharfer Wate. Perfekt zum Zubereiten von Fleisch, Fisch und Gemüse nach traditioneller chinesischer Art. - Messerschärfer: Selbst das beste Messer verliert mit der Zeit an Schärfe. Mit dem richtigen Scharfmacher von ZWILLING und seiner korrekten Handhabung ist das kein Problem. Produktmerkmale: - Kunststoffgriff - Rostfreier Spezialstahl - FRIODUR-Klinge, eisgehärtet - Klassisches Drei-Nieten-Design    </div>",No,,,0,/zwilling/kitchen/messer-set-2-tlg-01_1823.jpg,,,,,Messer Set 2 tlg,Messer Set 2 tlg,Messer Set 2 tlg - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Messer-Set-2-tlg,,,Product Info Column,,"66,00",0,,,,/zwilling/kitchen/messer-set-2-tlg-01_1823.jpg,,,,,1,2,/zwilling/kitchen/messer-set-2-tlg-01_1823.jpg,,,Messer Set 2 tlg,Messer Set 2 tlg.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_30144-000-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>ZWILLING Messerset FIVE STAR, 2-tlg.</h1><h3>Set bestehend aus: <h3>- Spickmesser 10 cm: Kleines, leichtes und vielseitiges Messer mit einer schlanken, mittelspitzen Klinge. Auch Officemesser genannt. Schält, schneidet, putzt und garniert Obst und Gemüse. Gut zum Vorbereiten von Fleisch und zum Spicken geeignet.<br>- Santokumesser 18 cm: Asiatische Klingenform mit breiter Klinge und besonders scharfer Wate. Der Allrounder der asiatischen Küche ist dreifach einsetzbar zum Zubereiten von Fleisch, Fisch und auch Gemüse. Alle Santokumesser von ZWILLING haben eine polierte Wate mit RAZOR EDGE Abzug für ihre typische Schärfe und sollten nur mit einem Wetzstein nachgeschärft werden. <br>Produktmerkmale: <br>- Kunststoffgriff: fugenloser Übergang von Kropf zu Griff<br>- Handschutz (Kropf)<br>- Rostfreier Spezialstahl<br>- FRIODUR-Klinge, eisgehärtet<br>- SIGMAFORGE- aus einem Stück geschmiedet    </h3></h3></div>",No,,,0,/zwilling/kitchen/messer-set-2-tlg-01_1787.jpg,,,,,Messer Set 2 tlg,Messer Set 2 tlg,Messer Set 2 tlg - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Messer-Set-2-tlg,,,Product Info Column,,"88,00",0,,,,/zwilling/kitchen/messer-set-2-tlg-01_1787.jpg,,,,,1,2,/zwilling/kitchen/messer-set-2-tlg-01_1787.jpg,,,Messer Set 2 tlg,Messer Set 2 tlg.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_38157-001-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>ZWILLING Messerset TWIN Grip 3-tlg., rot</h1>Das ZWILLING TWIN Grip Messerset, 3-tlg. hat ein verschärftes junges Design, liegt gut in der Hand, und die Klinge ist ein echter ZWILLING. Griffig und rutschsicher durch rauhe Oberfläche.<h3>Set bestehend aus:<h3>Schälmesser, rot 6 cm: Klein und wendig.<br>Spick- und Garniermesser, rot 9 cm: Kleines, leichtes und vielseitiges Messer mit einer schlanken, mittelspitzen Klinge. Auch Officemesser genannt. Schält, schneidet, putzt und garniert Obst und Gemüse. Gut zum Vorbereiten von Fleisch und zum Spicken geeignet.<br>TWIN L Vielzweckschere, rot<br><h3>Produktmerkmale:</h3>Griffmaterial: Kunststoff; besonders griffig und rutschfest<br>FRIODUR, eisgehärtet<br>Rostfreier Spezialstahl    </h3></h3></div>",No,,,0,/zwilling/kitchen/messer-set-3tlg--zwilling_38157-001-0.jpg,,,,,Messer Set  3tlg.,Messer Set  3tlg.,Messer Set  3tlg. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Messer-Set-3tlg-,,,Product Info Column,,"33,50",0,,,,/zwilling/kitchen/messer-set-3tlg--zwilling_38157-001-0.jpg,,,,,1,2,/zwilling/kitchen/messer-set-3tlg--zwilling_38157-001-0.jpg,,,Messer Set  3tlg.,Messer Set  3tlg..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_37880-200-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Küchenhelfer Set </h1> <br><h3>Segment</h3>Küchenhelfer<h3>Kategorie</h3>Küchenhelfer Set <h3>Beschreibung</h3>Ausbalancierte Formensprache und Produktivität pur – visuell wie auch haptisch. <br>Matteo Thun<br><br>VIELSEITIG UND LEISTUNGSFÄHIG<br>Der konsequent rund gestaltete Griff mit einem stufenlosen Übergang zum Stiel schmeichelt dem Auge und der Hand zugleich. Ob in reinem Edelstahl oder farbigem Kunststoff. TWIN Pure passt zu Ihrer Küche und zu Ihnen.<br><br>• FESTER HALT: leichter Kunststoffgriff mit rutschfester Oberflächenstruktur<br>• ERGONOMIE: die runde Griffform liegt perfekt in der Hand und garantiert ermüdungsfreies Arbeiten<br>• QUALITÄT &amp; DESIGN: rostfreier Edelstahl 18/10, ABS schwarz<br>• PLATZSPAREND: Aufhängeöse im Griff – passend für alle Leisten, nicht störend in der Handhabung<br>• PFLEGELEICHT: spülmaschinengeeignet<br>• FUNKTIONSSTARK: hitzebeständiges Silikon (bis 300 °C)<h3>Extra Info</h3>Inhalt: 1x 37880-100 Tool Box klein, 1x 37600-000 Sparschäler, 1x 37611-000 Schneebesen klein, 1x 37609-000 Backpinsel, 1x 37622-000 Pizzaschneider<h3>Abmessungen</h3>115 x 230 x 114 mm<h3>Serie</h3>TWIN® Pure black<h3>Länge mm</h3>234<h3>Breite mm</h3>115<h3>Höhe mm</h3>115    </div>",No,,,0,/zwilling/kitchen/kuchenhelfer-set-01_382.jpg,,,,,Küchenhelfer Set,Küchenhelfer Set,Küchenhelfer Set - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kuchenhelfer-Set,,,Product Info Column,,"61,95",0,,,,/zwilling/kitchen/kuchenhelfer-set-01_382.jpg,,,,,1,2,/zwilling/kitchen/kuchenhelfer-set-01_382.jpg,,,Kchenhelfer Set,Kchenhelfer Set.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_40901-001-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kochgeschirrset, 5-tlg. </h1> <br><h3>Segment</h3>Kochgeschirr<h3>Kategorie</h3>Kochgeschirr-Sets<h3>Beschreibung</h3>SO LEICHT UND SCHÖN IST KOCHEN!<br><br>Ein umfangreiches Sortiment – bestehend aus Koch-, Braten- und Stieltöpfen – lädt zur kulinarischen Entdeckungsreise in der Küche ein.<br>Das unkomplizierte und vielseitige Kochgeschirr mit dem klaren Design und dem typischen ZWILLING ""smooth satin finish"" ist der perfekte Partner für zeitgemäßes und gesundes Kochen. Sein Sigma Classic Boden mit einem Kern aus reinem Aluminium ist der Klassiker unter den Kochgeschirrböden und wird für seine optimale Wärmeleitung geschätzt.<h3>Extra Info</h3>Inhalt: 1x 40912-200 Bratentopf 3 L, 1x 40913-160 Kochtopf 2 L, 1x  40913-200 Kochtopf 4 L, 1x 40913-240 Kochtopf 7 L, 1x 40915-161 Stieltopf ohne Deckel 1,5 L                                                                                                                                                       <h3>Abmessungen</h3> <h3>Serie</h3>TWIN® Classic<h3>Länge mm</h3>530<h3>Breite mm</h3>400<h3>Höhe mm</h3>255    </div>",No,,,0,/zwilling/kitchen/kochtopfset-5tlg--01_461.jpg,,,,,Kochtopfset 5tlg.,Kochtopfset 5tlg.,Kochtopfset 5tlg. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kochtopfset-5tlg-,,,Product Info Column,,"329,00",0,,,,/zwilling/kitchen/kochtopfset-5tlg--01_461.jpg,,,,,1,2,/zwilling/kitchen/kochtopfset-5tlg--01_461.jpg,,,Kochtopfset 5tlg.,Kochtopfset 5tlg..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_64040-002-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zwilling Topfset JOY 5-teilig Kochgeschirrset mit Glasdeckel Kochtopf Pfanne</h1>Die Kochgeschirrserie JOY von ZWILLING bietet jedem anspruchsvollen Hobbykoch den optimalen Einstieg in die Kochgeschirrwelt von Zwilling und lädt zu einer kulinarischen Entdeckungsreise ein.<br>Das moderne und zugleich zeitlose Design lässt sich leicht in jede Wohnküche integrieren.<br>Der dicht schließende Glasdeckel ermöglicht ein energiesparendes Sichtkochen.<br>Modernes, zeitloses Design<br>Edel mattiertes smooth satin finish<br>Gefalteter Rand – punktgenaues und zielsicheres Ausgießen ohne Nachtropfen<br>Spülmaschinengeeignet<br>Geeignet für alle Herdarten, einschließlich Induktionskochplatten<br>Dicht schließender Glasdeckel mit Silikondichtung für energiesparendes und wasserarmes Sichtkochen<br>Sigma Classic Boden<br>Lieferumfang:<br>1 Kochtopf 16 cm mit Glasdeckel<br>1 Kochtopf 24 cm mit Glasdeckel<br>1 Bratentopf 20 cm mit Glasdeckel<br>1 Stieltopf 16 cm ohne Deckel<br>1 Bratpfanne 28 cm, unbeschichtet    </div>",No,,,0,/zwilling/kitchen/kochtopfset-5-tlg--01_1832.jpg,,,,,Kochtopfset 5-tlg.,Kochtopfset 5-tlg.,Kochtopfset 5-tlg. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kochtopfset-5-tlg-,,,Product Info Column,,"160,00",0,,,,/zwilling/kitchen/kochtopfset-5-tlg--01_1832.jpg,,,,,1,2,/zwilling/kitchen/kochtopfset-5-tlg--01_1832.jpg,,,Kochtopfset 5-tlg.,Kochtopfset 5-tlg..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_64040-005-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kochgeschirrset, 4-tlg. </h1> <br><h3>Segment</h3>Kochgeschirr<h3>Kategorie</h3>Kochgeschirr-Sets<h3>Beschreibung</h3>SO VIELSEITIG KANN KOCHEN SEIN<br>Die Kochgeschirrserie Joy von ZWILLING bietet jedem anspruchsvollen Hobbykoch den optimalen Einstieg in die Kochgeschirrwelt von ZWILLING und lädt zu einer kulinarischen Entdeckungsreise ein.<br>Das moderne und zugleich zeitlose Design lässt sich leicht in jede Wohnküche integrieren.<br>Der dicht schließende Glasdeckel ermöglicht ein energiesparendes Sichtkochen.<h3>Extra Info</h3>Inhalt: 1x 64045-161 Stieltopf ohne Deckel, 1x 64043-160 Kochtopf 16 cm, 1x 64043-200 Kochtopf 20 cm, 1x 64042-200 Bratentopf 20 cm<h3>Abmessungen</h3> <h3>Serie</h3>ZWILLING® Joy<h3>Länge mm</h3>480<h3>Breite mm</h3>275<h3>Höhe mm</h3>230    </div>",No,,,0,/zwilling/kitchen/kochtopfset-4tlg--01_438.jpg,,,,,Kochtopfset 4tlg.,Kochtopfset 4tlg.,Kochtopfset 4tlg. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kochtopfset-4tlg-,,,Product Info Column,,"219,00",0,,,,/zwilling/kitchen/kochtopfset-4tlg--01_438.jpg,,,,,1,2,/zwilling/kitchen/kochtopfset-4tlg--01_438.jpg,,,Kochtopfset 4tlg.,Kochtopfset 4tlg..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_40103-200-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zwilling Twin Nova Kochtopf 3,6l</h1>Die Kochgeschirr Serie Nova von ZWILLING bietet ein umfangreiches Sortiment - bestehend aus Koch-, Braten- und Stieltöpfen und lädt zur kulinarischen Entdeckungsreise in der Küche ein. Unkompliziert und vielseitig wird Nova zum perfekten Helfer für das tägliche Zubereiten.<br>Das klassische Design fügt sich optimal in jede moderne Wohnküche ein und ermöglicht durch den dicht schließenden Glasdeckel energiesparendes Sichtkochen.<br>Für alle Herdarten - inklusive Induktion - geeignet.<br>Abmessungen: 20 cm (8 "")    </div>",No,,,0,/zwilling/kitchen/kochtopf-3-6l-zwilling_40103-200-0.jpg,,,,,"Kochtopf, 3,6L","Kochtopf, 3,6L","Kochtopf, 3,6L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kochtopf-3-6L,,,Product Info Column,,"89,95",0,,,,/zwilling/kitchen/kochtopf-3-6l-zwilling_40103-200-0.jpg,,,,,1,2,/zwilling/kitchen/kochtopf-3-6l-zwilling_40103-200-0.jpg,,,"Kochtopf, 3,6L","Kochtopf, 3,6L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_40913-240-0,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kochtopf, 7,0 l 24 cm</h1> <br><h3>Segment</h3>Kochgeschirr<h3>Kategorie</h3>Kochtöpfe<h3>Beschreibung</h3>SO LEICHT UND SCHÖN IST KOCHEN!<br><br>Ein umfangreiches Sortiment – bestehend aus Koch-, Braten- und Stieltöpfen – lädt zur kulinarischen Entdeckungsreise in der Küche ein.<br>Das unkomplizierte und vielseitige Kochgeschirr mit dem klaren Design und dem typischen ZWILLING ""smooth satin finish"" ist der perfekte Partner für zeitgemäßes und gesundes Kochen. Sein Sigma Classic Boden mit einem Kern aus reinem Aluminium ist der Klassiker unter den Kochgeschirrböden und wird für seine optimale Wärmeleitung geschätzt.<h3>Extra Info</h3>Ø 16 cm / 2,4 l; Ø 20 cm / 4,0 l; Ø 24 cm / 6,0 l<br>Der universelle Topf zum Kochen von Teigwaren, Kartoffeln, Reis, Gemüse und <h3>Abmessungen</h3>24 cm<h3>Serie</h3>TWIN® Classic<h3>Länge mm</h3>385<h3>Breite mm</h3>190<h3>Höhe mm</h3>265    </div>",No,,,0,/zwilling/kitchen/kochtopf-24cm-01_486.jpg,,,,,Kochtopf 24cm,Kochtopf 24cm,Kochtopf 24cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kochtopf-24cm,,,Product Info Column,,"149,00",0,,,,/zwilling/kitchen/kochtopf-24cm-01_486.jpg,,,,,1,2,/zwilling/kitchen/kochtopf-24cm-01_486.jpg,,,Kochtopf 24cm,Kochtopf 24cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
